tweet, sentiment
"My Daughter ‘ Polina Anjani’ beside ‘Che’ wax statue in St.Peterberg museum.When I was doing my intermediate first year(  Nellore,I read about Che’s life &amp; strangely, ever since..his presence somehow &amp; somewhere seeps into my life.I always wonder!Why? ", 1
"With my brothers &amp; sisters , I was in 7th class  in Nellore, it was taken after I had just recovered from  prolonged bronchitis. ", 1
"1st Land grabbing case which was reported to SIT but the report is still lying on the table of Hon. CM.Sri CBN garu.  Why is the delay? UttaraAndhra people, senior citizens &amp; intellectuals don’t understand. ", 
, 0
A brief note on Sri C.S.Rao. He’s a great champion defending the fundamental rights of people.His Love &amp; passion for the well-being of the country &amp; UttaraAndhra deeply moved me even at this ripe old age of 92 from the hospital bed. I truly wish ‘Sri Chaganti Sundar Rao garu to recover soon. , 2
"Visited Sri C.S Rao former IES officer who worked in Planning Commission. A great man who fights for the backwardness of UttaraAndhra. He participated in the agitation for Rly Zone, Environment protection and backwardness of the region. ", 2
"I want Janasainiks to know,Hon PM Sri Narendra Modi ji started with 10% vote share ,American president Mr.Donald trump started with 10% vote share &amp;JSP started with 10% vote share( as per the ruling party poll) its a good beginning let’s get the necessary vote share to form Govt.", 4
My commitment to fight against UttaraAndhra backwardness has increased multifold after speaking to such scholarly people. 
From (R-L) Sri KV Ramana(former VC of AU) Sri KS.Chalam( Former VC Kuppam University) Sri N.Prakas Rao( AVN college former principal) Sri N.Kalyan Rao( Ambedkar Bhavan President) Sri shiva Shankar( Senior Journalist) , 1
"Just finished meeting with UttaraAndhra intellectuals. Two key points which came out of our meeting - వనరులు మావా ? అభివృద్ధి వాళ్ళకా ? ( పాలక వర్గాలకా?) 
కుటుంబాలు బాగుపడుతున్నాయి కానీ కులాలు బాగుపడట్లేదు.. ", 0
ఉత్తరాంధ్ర దోపిడీ లో భాగం గా విమ్స్ ని ప్రైవేటీకరణ చెయ్యటానికి టీడీపీ Govt సిద్ధపడుతుంది. , 0
"బొగ్గు, జబ్బులు మాకా?? డబ్బులు వారికా??  అని విశాఖ జిల్లా పోర్ట్ కాలుష్య బాధితులు నన్ను అడిగారు. ", 0
Exploitation of UttaraAndhra , 0
"ఆ పుస్తకాలిని పంపిన  పెద్దలకి,అందించిన మాదిగ కుల నేతలకి, మేధావులికి నా హృదయపూర్వక ధన్యవాదాలు.. ", 2
"విశ్వనరుడు మహాన్నోత మానవతామూర్తి,మహాకవి ‘జాషువా’గారికి 🙏 ", 2
Poem from Poet of modern India ‘ Seshendra’ , 1
"(Cont..) it Might lead to movement of ‘Identity politics like telengana statehood,Brexit ,Catalonia nationhood (or) like an Egypt Arab spring revolution overthrowing a dictator of decades. What is in store for backward regions of AP we have to wait &amp; see..", 0
"As individuals socio-political awareness increases they realise the injustice meted out to them in socio-economic-political development then,it will lead to social unrest &amp; depending up on the  native social-cultural- political landscape(cont..)", 0
